City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
648,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
651,Itajuba,BR,84.63,broken clouds,-22.4256,-45.4528,Hotel Oriente
655,Lumut,MY,77.38,scattered clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
658,Sidney,AU,65.77,broken clouds,-33.8679,151.2073,The Grace Sydney
662,Peniche,PT,61.29,few clouds,39.3558,-9.3811,Hotel Star inn Peniche
663,Bhiwandi,IN,84.06,light rain,19.3,73.0667,Hotel Galaxy
671,Daru,PG,79.56,scattered clouds,-9.0763,143.2092,Daru Lodge
682,Srandakan,ID,62.73,very heavy rain,-7.9386,110.2506,Puri Brata
683,Barbacoas,CO,79.03,overcast clouds,1.6715,-78.1398,edificio justin
684,Perth,AU,62.67,clear sky,-31.9333,115.8333,Beatty Lodge
