City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
80,San Patricio,US,28.017,-97.5169,67.87,52,72,6.33,broken clouds,2021-11-23 15:33:24
81,Amapa,BR,1.0,-52.0,92.95,38,51,4.52,broken clouds,2021-11-23 15:33:24
82,Hilo,US,19.7297,-155.09,78.28,68,20,6.91,few clouds,2021-11-23 15:32:29
83,Barcelos,PT,41.5388,-8.6151,60.94,60,42,2.15,scattered clouds,2021-11-23 15:33:25
84,Maroua,CM,10.591,14.3159,92.46,17,38,5.44,scattered clouds,2021-11-23 15:33:25
85,Mar Del Plata,AR,-38.0023,-57.5575,60.82,75,5,11.01,clear sky,2021-11-23 15:33:25
86,Puerto Ayora,EC,-0.7393,-90.3518,75.16,71,14,9.08,few clouds,2021-11-23 15:33:26
87,Hovd,MN,48.0056,91.6419,27.28,49,94,8.9,overcast clouds,2021-11-23 15:33:26
88,Rapid Valley,US,44.0625,-103.1463,57.97,35,1,1.99,clear sky,2021-11-23 15:33:26
89,Salalah,OM,17.0151,54.0924,82.49,51,0,2.3,clear sky,2021-11-23 15:33:27
90,Namibe,AO,-15.1961,12.1522,79.43,69,20,17.27,few clouds,2021-11-23 15:33:27
91,Raudeberg,NO,61.9875,5.1352,48.2,85,100,24.87,overcast clouds,2021-11-23 15:33:28
92,Bluff,NZ,-46.6,168.3333,52.12,79,52,11.07,broken clouds,2021-11-23 15:33:28
93,Aldan,RU,58.6031,125.3894,-8.46,97,100,2.33,overcast clouds,2021-11-23 15:33:29
94,Mezen,RU,65.8522,44.24,10.51,97,82,3.8,broken clouds,2021-11-23 15:33:29
95,Tayga,RU,56.06,85.6197,29.32,86,100,15.82,overcast clouds,2021-11-23 15:33:29
96,Sundsvall,SE,62.3913,17.3063,39.96,78,75,3.44,light rain,2021-11-23 15:33:30
97,Northport,US,33.229,-87.5772,46.69,53,1,5.75,clear sky,2021-11-23 15:33:30
98,Tual,ID,-5.6667,132.75,83.34,76,79,5.68,broken clouds,2021-11-23 15:33:30
99,Saint George,US,37.1041,-113.5841,59.54,48,1,0.0,clear sky,2021-11-23 15:32:07
100,Mwinilunga,ZM,-11.7358,24.4293,65.62,92,95,8.41,moderate rain,2021-11-23 15:33:31
101,Sarramea,NC,-21.6421,165.8452,70.72,87,92,2.93,overcast clouds,2021-11-23 15:33:31
102,Nelson Bay,AU,-32.7167,152.15,67.08,97,100,1.01,overcast clouds,2021-11-23 15:33:32
103,Akdepe,TM,42.0551,59.3788,46.49,43,5,5.48,clear sky,2021-11-23 15:33:32
104,Anacortes,US,48.5126,-122.6127,47.44,95,75,1.01,mist,2021-11-23 15:30:15
105,Benguela,AO,-12.5763,13.4055,80.37,75,96,8.3,overcast clouds,2021-11-23 15:33:32
106,Cabo San Lucas,MX,22.8909,-109.9124,79.52,60,1,4.0,clear sky,2021-11-23 15:30:37
107,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.59,80,75,4.47,light snow,2021-11-23 15:33:33
108,Williams Lake,CA,52.1415,-122.1445,27.97,93,75,5.75,broken clouds,2021-11-23 15:30:03
109,Baruun-Urt,MN,46.6806,113.2792,6.67,87,94,2.13,overcast clouds,2021-11-23 15:33:33
110,Adrar,MR,20.5022,-10.0711,90.63,20,81,4.5,broken clouds,2021-11-23 15:33:34
111,Constitucion,CL,-35.3333,-72.4167,65.19,70,13,11.59,few clouds,2021-11-23 15:33:34
112,Miyako,JP,39.6367,141.9525,41.11,87,53,9.08,broken clouds,2021-11-23 15:33:34
113,Dingle,PH,10.9995,122.6711,76.68,91,100,7.83,overcast clouds,2021-11-23 15:33:35
114,Rundu,NA,-17.9333,19.7667,93.79,7,57,6.58,broken clouds,2021-11-23 15:33:35
115,East London,ZA,-33.0153,27.9116,67.14,59,0,23.02,clear sky,2021-11-23 15:33:35
116,Ryotsu,JP,38.0833,138.4333,47.84,68,93,30.33,light rain,2021-11-23 15:33:36
117,Nara,JP,34.6851,135.8049,52.88,47,21,11.32,few clouds,2021-11-23 15:33:36
118,Ridgecrest,US,35.6225,-117.6709,33.66,25,20,0.0,few clouds,2021-11-23 15:31:22
119,Mikhaylovka,RU,50.06,43.2379,29.79,61,100,8.46,overcast clouds,2021-11-23 15:33:36
120,San Cristobal,VE,7.7669,-72.225,71.78,69,84,4.94,broken clouds,2021-11-23 15:33:37
121,Hereford,GB,52.0568,-2.7148,49.01,93,89,4.34,overcast clouds,2021-11-23 15:33:37
122,Port Augusta,AU,-32.5,137.7667,68.7,67,100,11.63,light rain,2021-11-23 15:33:37
123,Kita,ML,13.0349,-9.4895,98.56,10,1,8.32,clear sky,2021-11-23 15:33:38
124,Kutum,SD,14.2,24.6667,72.25,14,4,9.98,clear sky,2021-11-23 15:33:38
125,Iquique,CL,-20.2208,-70.1431,66.24,65,100,8.05,overcast clouds,2021-11-23 15:33:38
126,Nenjiang,CN,49.1833,125.2167,14.85,76,100,18.28,overcast clouds,2021-11-23 15:33:39
127,Gorontalo,ID,0.5412,123.0595,75.47,94,100,3.36,overcast clouds,2021-11-23 15:33:39
